27 627
1 2 2
1 3 37
1 4 32
1 6 3
1 7 12
1 8 18
1 9 5
1 10 2
1 11 41
1 12 66
1 13 12
1 14 31
1 15 40
1 16 54
1 17 80
1 18 3
1 19 56
1 20 6
1 21 83
1 22 33
1 23 15
1 24 15
1 25 36
1 26 8
1 27 42
2 3 85
2 4 26
2 7 47
2 8 32
2 10 95
2 11 23
2 13 65
2 14 93
2 15 64
2 16 4
2 17 10
2 19 9
2 20 25
2 21 38
2 22 37
2 23 64
2 24 50
2 25 21
2 26 45
2 27 15
3 1 59
3 2 4
3 4 33
3 6 8
3 7 10
3 9 50
3 10 15
3 11 21
3 12 41
3 13 3
3 14 9
3 15 17
3 16 73
3 17 40
3 18 78
3 19 71
3 20 19
3 21 22
3 22 52
3 23 32
3 24 87
3 25 32
3 26 22
3 27 88
4 1 5
4 2 63
4 3 8
4 5 24
4 7 13
4 8 81
4 9 41
4 11 66
4 12 31
4 13 27
4 14 90
4 15 41
4 16 37
4 17 11
4 18 17
4 19 80
4 20 3
4 21 9
4 22 12
4 23 5
4 24 33
4 25 8
5 1 4
5 3 80
5 4 66
5 6 10
5 7 79
5 8 1
5 9 64
5 10 27
5 11 5
5 12 7
5 13 2
5 14 76
5 15 25
5 16 17
5 17 44
5 18 52
5 19 3
5 20 1
5 21 57
5 22 10
5 23 24
5 24 79
5 25 3
5 27 7
6 1 4
6 2 19
6 3 27
6 4 14
6 5 9
6 7 32
6 9 68
6 10 29
6 11 20
6 12 3
6 13 86
6 14 42
6 15 2
6 16 5
6 17 56
6 18 44
6 20 9
6 21 49
6 22 56
6 23 77
6 24 21
6 25 60
6 26 77
6 27 71
7 1 33
7 2 11
7 3 8
7 4 51
7 5 25
7 6 16
7 8 16
7 9 43
7 10 16
7 11 70
7 12 24
7 13 48
7 14 2
7 15 21
7 16 41
7 17 37
7 18 22
7 20 22
7 21 75
7 22 35
7 23 62
7 24 2
7 25 56
7 26 84
7 27 89
8 1 13
8 2 20
8 3 1
8 4 15
8 5 12
8 6 29
8 7 20
8 9 10
8 10 2
8 11 27
8 12 25
8 13 10
8 14 12
8 15 83
8 16 3
8 17 26
8 18 37
8 19 75
8 20 7
8 21 41
8 22 14
8 23 5
8 24 13
8 25 8
8 26 31
8 27 19
9 1 11
9 3 8
9 4 47
9 5 3
9 6 20
9 7 61
9 8 21
9 11 24
9 12 44
9 13 45
9 14 92
9 15 20
9 16 91
9 17 17
9 18 45
9 19 13
9 20 13
9 21 19
9 22 14
9 23 38
9 25 72
9 26 1
9 27 38
10 1 45
10 2 40
10 3 55
10 4 56
10 5 6
10 6 26
10 7 34
10 9 52
10 11 67
10 12 23
10 13 8
10 14 30
10 15 55
10 17 31
10 18 74
10 19 81
10 20 70
10 21 32
10 22 20
10 23 1
10 24 8
10 25 88
10 26 58
10 27 14
11 1 27
11 2 8
11 3 68
11 4 7
11 5 2
11 7 17
11 8 12
11 9 2
11 10 3
11 12 23
11 13 49
11 14 38
11 15 53
11 16 9
11 17 43
11 18 32
11 19 7
11 20 79
11 22 10
11 23 7
11 24 31
11 25 90
11 26 31
11 27 19
12 2 25
12 3 34
12 4 12
12 5 27
12 8 23
12 9 5
12 10 33
12 11 33
12 13 5
12 14 12
12 15 59
12 16 100
12 17 70
12 18 35
12 19 13
12 20 8
12 21 17
12 22 41
12 24 69
12 26 24
12 27 32
13 1 13
13 3 36
13 4 6
