72 3414
1 2 23
1 3 24
1 4 7
1 5 39
1 7 29
1 8 55
1 11 10
1 12 83
1 13 94
1 14 79
1 16 28
1 17 27
1 18 79
1 19 62
1 22 80
1 24 20
1 25 7
1 27 21
1 28 11
1 30 48
1 31 16
1 32 52
1 35 60
1 37 19
1 39 38
1 42 87
1 43 99
1 44 34
1 45 4
1 46 31
1 48 2
1 49 10
1 51 97
1 52 10
1 53 39
1 55 95
1 58 30
1 59 6
1 60 9
1 61 30
1 62 45
1 63 46
1 64 78
1 65 78
1 66 47
1 69 82
1 72 81
2 1 46
2 3 59
2 4 44
2 7 35
2 9 13
2 10 1
2 11 1
2 12 38
2 13 1
2 14 44
2 15 6
2 17 90
2 19 79
2 20 58
2 21 2
2 22 20
2 23 17
2 24 38
2 25 91
2 28 8
2 29 31
2 30 6
2 31 40
2 32 74
2 35 16
2 36 12
2 37 46
2 38 4
2 40 16
2 41 18
2 42 14
2 43 18
2 46 2
2 47 79
2 48 8
2 49 22
2 50 97
2 51 51
2 52 73
2 55 4
2 57 28
2 58 41
2 60 36
2 61 36
2 62 61
2 65 10
2 66 33
2 67 5
2 68 32
2 69 7
2 70 20
2 71 29
3 4 18
3 6 34
3 7 51
3 9 94
3 10 9
3 13 8
3 15 82
3 16 28
3 17 53
3 18 12
3 21 37
3 23 31
3 27 18
3 28 62
3 29 65
3 30 52
3 31 91
3 33 64
3 34 4
3 35 1
3 37 11
3 38 64
3 39 96
3 40 31
3 41 4
3 43 78
3 44 47
3 45 67
3 46 39
3 47 67
3 48 61
3 49 28
3 50 84
3 51 52
3 55 57
3 56 64
3 58 34
3 59 10
3 60 25
3 61 61
3 62 65
3 63 13
3 64 21
3 65 12
3 66 10
3 67 71
3 69 97
3 70 66
3 71 94
3 72 29
4 2 22
4 3 66
4 6 61
4 7 41
4 8 41
4 9 15
4 10 8
4 11 94
4 13 39
4 15 6
4 16 75
4 17 63
4 19 32
4 22 53
4 23 66
4 24 98
4 27 27
4 28 66
4 29 77
4 31 15
4 32 31
4 34 65
4 35 70
4 36 55
4 37 30
4 38 86
4 40 49
4 42 1
4 43 43
4 44 21
4 45 94
4 46 46
4 47 41
4 49 59
4 50 20
4 51 10
4 52 97
4 54 65
4 55 25
4 58 18
4 59 59
4 60 76
4 62 19
4 64 41
4 65 30
4 66 36
4 67 23
4 68 38
4 69 27
4 70 100
4 71 9
4 72 7
5 1 16
5 2 36
5 3 30
5 6 69
5 7 27
5 9 64
5 10 10
5 11 15
5 12 41
5 13 20
5 16 92
5 17 72
5 19 94
5 20 43
5 21 49
5 23 84
5 25 17
5 26 82
5 27 34
5 28 18
5 29 99
5 32 25
5 34 66
5 35 63
5 38 2
5 39 34
5 41 18
5 42 60
5 43 17
5 44 86
5 45 21
5 47 8
5 50 49
5 52 40
5 53 52
5 54 54
5 55 77
5 56 57
5 58 16
5 61 100
5 62 13
5 63 27
5 65 16
5 67 52
5 68 54
5 71 65
5 72 89
6 2 8
6 3 30
6 5 12
6 7 45
6 10 68
6 14 22
6 15 71
6 17 76
6 19 2
6 20 40
6 22 10
6 23 35
6 25 9
6 26 87
6 27 53
6 28 94
6 34 2
6 36 4
6 37 4
6 39 72
6 40 74
6 42 57
6 43 16
6 45 74
6 46 7
6 48 5
6 49 22
6 50 88
6 52 26
6 53 23
6 56 33
6 57 17
6 60 73
6 61 66
6 64 5
6 67 83
6 69 53
6 72 47
7 1 85
7 3 69
7 4 21
7 5 49
7 9 17
7 10 57
7 11 45
7 13 18
7 14 92
7 15 17
7 16 18
7 18 61
7 19 2
7 20 12
7 23 87
7 25 71
7 28 28
7 29 17
7 31 84
7 32 33
7 34 7
7 36 26
7 38 35
7 39 79
7 40 15
7 42 91
7 44 97
7 46 54
7 50 53
7 51 55
7 54 33
7 56 14
7 57 22
7 59 37
7 60 84
7 61 6
7 62 72
7 63 13
7 64 96
7 65 37
7 66 8
7 68 12
7 71 79
7 72 33
8 1 14
8 2 52
8 3 84
8 4 6
8 5 29
8 7 29
8 9 14
8 10 46
8 11 46
8 12 10
8 13 7
8 14 35
8 15 4
8 16 18
8 19 15
8 21 5
8 22 89
8 23 9
8 24 71
8 26 74
8 28 16
8 30 43
8 31 43
8 34 7
8 35 88
8 36 52
8 37 1
8 39 57
8 40 40
8 41 43
8 44 57
8 48 40
8 49 42
8 51 7
8 53 5
8 54 63
8 55 22
8 56 46
8 57 85
8 58 34
8 59 5
8 60 23
8 61 44
8 62 47
8 63 61
8 66 11
8 67 67
8 70 47
8 71 7
8 72 12
9 1 86
9 2 83
9 3 72
9 4 58
9 6 67
9 7 36
9 8 19
9 11 66
9 13 79
9 14 28
9 15 2
9 16 86
9 17 58
9 18 18
9 19 34
9 21 8
9 22 53
9 25 7
9 26 32
9 27 78
9 29 5
9 30 31
9 31 21
9 33 35
9 34 65
9 35 10
9 36 66
9 38 96
9 39 77
9 41 33
9 42 97
9 44 46
9 45 37
9 46 43
9 47 44
9 48 4
9 49 25
9 50 87
9 51 65
9 53 16
9 55 28
9 56 29
9 59 28
9 60 21
9 61 7
9 64 72
9 66 91
9 67 12
9 71 26
9 72 12
10 3 84
10 7 52
10 8 66
10 9 68
10 12 8
10 13 80
10 14 30
10 15 47
10 16 36
10 17 62
10 20 73
10 23 98
10 27 36
10 30 15
10 32 42
10 33 77
10 35 36
10 36 55
10 37 36
10 38 5
10 42 87
10 43 40
10 45 41
10 46 45
10 48 36
10 50 5
10 52 52
10 53 41
10 54 84
10 56 60
10 57 22
10 58 99
10 61 88
10 62 1
10 63 32
10 64 54
10 65 23
10 66 72
10 67 23
10 68 5
10 69 19
10 71 23
10 72 83
11 2 58
11 3 72
11 4 29
11 5 78
11 6 2
11 7 53
11 9 76
11 12 12
11 14 15
11 15 26
11 16 83
11 19 8
11 20 2
11 21 58
11 22 42
11 23 58
11 24 3
11 26 88
11 28 15
11 29 75
11 30 39
11 31 51
11 33 27
11 34 61
11 38 63
11 39 54
11 41 37
11 42 29
11 43 16
11 44 92
11 45 1
11 46 79
11 47 18
11 48 9
11 50 13
11 51 49
11 52 80
11 55 77
11 57 41
11 58 50
11 59 74
11 60 19
11 62 23
11 63 60
11 64 51
11 65 8
11 67 22
11 69 36
11 70 9
11 72 76
12 1 79
12 2 56
12 3 11
12 4 57
12 5 41
12 6 24
12 7 29
12 9 99
12 10 48
12 15 17
12 16 44
12 21 4
12 22 61
12 26 81
12 27 8
12 29 45
12 32 46
12 34 66
12 35 54
12 36 44
12 37 84
12 38 69
12 40 24
12 42 29
12 43 38
12 45 23
12 46 86
12 47 8
12 49 78
12 50 3
12 51 11
12 52 55
12 53 82
12 55 6
12 56 73
12 57 8
12 58 15
12 59 14
12 62 29
12 63 57
12 65 66
12 66 11
12 67 33
12 68 2
12 69 94
12 70 37
12 71 22
12 72 74
13 1 59
13 4 56
13 6 15
13 9 20
13 12 38
13 16 45
13 18 76
13 19 39
13 20 82
13 21 31
13 23 67
13 24 18
13 25 42
13 29 66
13 30 5
13 31 52
13 32 3
13 34 31
13 35 60
13 37 33
13 38 85
13 39 76
13 40 23
13 41 78
13 42 23
13 47 74
13 49 44
13 51 19
13 55 41
13 57 34
13 58 22
13 62 98
13 63 7
13 64 52
13 65 4
13 67 58
13 68 39
13 69 71
13 70 92
13 71 59
13 72 25
14 1 12
14 2 12
14 3 61
14 4 5
14 5 78
14 12 68
14 13 28
14 15 79
14 17 74
14 22 51
14 24 66
14 25 36
14 26 82
14 28 56
14 31 28
14 32 62
14 33 54
14 35 13
14 36 26
14 38 42
14 39 64
14 41 46
14 42 3
14 44 96
14 45 72
14 46 12
14 47 13
14 48 40
14 49 65
14 50 19
14 51 6
14 52 11
14 53 5
14 54 37
14 56 67
14 57 65
14 58 3
14 59 14
14 60 5
14 62 5
14 63 2
14 64 16
14 66 40
14 68 30
14 71 20
14 72 9
15 3 5
15 4 43
15 5 15
15 6 88
15 7 27
15 8 6
15 9 13
15 11 100
15 16 50
15 18 52
15 19 19
15 20 9
15 23 21
15 24 48
15 25 31
15 26 97
15 27 4
15 28 55
15 29 90
15 30 11
15 31 1
15 32 19
15 33 53
15 34 60
15 35 23
15 37 2
15 38 9
15 40 28
15 41 6
15 42 30
15 43 45
15 44 35
15 45 22
15 46 38
15 47 59
15 48 44
15 49 34
15 50 8
15 52 76
15 53 47
15 54 36
15 55 70
15 56 81
15 58 6
15 59 7
15 61 6
15 63 68
15 64 56
15 65 28
15 66 24
15 67 4
15 68 39
15 69 1
15 70 99
15 72 12
16 1 41
16 2 44
16 3 25
16 5 74
16 6 99
16 7 36
16 8 48
16 9 71
16 11 13
16 13 81
16 19 54
16 20 56
16 21 46
16 26 10
16 28 78
16 31 44
16 32 13
16 36 13
16 37 66
16 38 35
16 39 86
16 41 42
16 42 27
16 45 13
