99 5412
1 3 12
1 5 41
1 7 49
1 9 28
1 12 4
1 14 82
1 15 20
1 16 54
1 17 56
1 18 73
1 20 69
1 21 5
1 22 13
1 24 67
1 25 5
1 26 93
1 29 15
1 32 70
1 33 34
1 34 83
1 35 75
1 36 34
1 38 82
1 39 90
1 40 1
1 41 57
1 42 53
1 43 16
1 44 42
1 45 25
1 47 48
1 48 15
1 49 37
1 50 56
1 51 22
1 52 16
1 53 87
1 54 4
1 56 30
1 60 62
1 61 29
1 62 32
1 63 6
1 65 2
1 68 54
1 69 21
1 70 47
1 72 38
1 73 65
1 75 76
1 76 51
1 78 18
1 82 29
1 84 88
1 86 2
1 88 91
1 89 51
1 90 41
1 91 100
1 92 76
1 94 79
1 95 37
1 96 24
1 97 85
2 6 75
2 7 22
2 8 10
2 10 30
2 13 6
2 15 2
2 16 57
2 17 60
2 18 54
2 20 44
2 22 72
2 25 63
2 26 70
2 27 81
2 33 12
2 34 3
2 35 47
2 36 35
2 38 16
2 40 47
2 42 24
2 44 93
2 45 7
2 49 6
2 50 82
2 56 5
2 58 23
2 61 57
2 63 36
2 64 42
2 65 35
2 67 2
2 68 43
2 69 100
2 70 17
2 71 16
2 72 48
2 73 12
2 74 43
2 77 5
2 79 16
2 83 51
2 84 27
2 85 27
2 86 65
2 88 10
2 90 28
2 92 54
2 96 42
2 97 61
2 98 5
2 99 44
3 1 31
3 7 66
3 10 97
3 17 14
3 18 24
3 20 5
3 22 27
3 23 54
3 25 5
3 27 47
3 28 78
3 30 55
3 33 97
3 35 7
3 36 42
3 37 40
3 39 90
3 41 45
3 42 2
3 43 29
3 45 69
3 47 35
3 48 69
3 50 53
3 51 73
3 52 6
3 53 52
3 55 36
3 57 81
3 59 41
3 60 42
3 61 3
3 62 55
3 63 17
3 65 82
3 66 60
3 68 5
3 69 18
3 71 13
3 74 32
3 76 99
3 78 18
3 80 37
3 81 32
3 86 12
3 87 88
3 89 37
3 90 36
3 92 78
3 94 11
3 99 13
4 5 2
4 6 36
4 7 81
4 10 85
4 12 43
4 13 29
4 14 55
4 15 24
4 16 32
4 20 45
4 22 9
4 23 57
4 24 10
4 25 7
4 27 3
4 32 17
4 33 15
4 34 97
4 36 56
4 37 19
4 39 8
4 40 41
4 41 10
4 42 9
4 43 74
4 45 40
4 46 79
4 47 84
4 48 73
4 51 20
4 53 59
4 54 12
4 58 2
4 61 61
4 62 29
4 67 20
4 68 49
4 71 50
4 73 25
4 75 7
4 78 45
4 79 99
4 80 60
4 83 87
4 84 70
4 85 5
4 86 42
4 89 65
4 91 17
4 92 1
4 94 72
4 96 6
4 97 61
4 98 19
5 1 37
5 2 63
5 3 58
5 7 33
5 9 85
5 10 64
5 11 81
5 16 66
5 18 95
5 19 13
5 20 2
5 21 40
5 22 96
5 23 61
5 26 49
5 27 44
5 32 4
5 36 9
5 39 75
5 41 38
5 44 73
5 46 60
5 47 59
5 48 20
5 51 23
5 52 79
5 53 6
5 56 57
5 57 21
5 58 28
5 59 51
5 60 16
5 62 51
5 65 37
5 66 18
5 68 30
5 69 89
5 70 50
5 71 48
5 73 9
5 75 84
5 77 42
5 81 3
5 82 84
5 85 23
5 89 6
5 97 28
5 99 87
6 1 36
6 2 31
6 5 69
6 10 18
6 11 51
6 13 5
6 14 10
6 15 5
6 16 34
6 17 15
6 18 52
6 20 43
6 21 28
6 22 9
6 23 50
6 24 1
6 25 86
6 27 97
6 30 8
6 32 24
6 33 51
6 35 43
6 36 69
6 37 58
6 38 27
6 40 43
6 41 54
6 44 53
6 46 57
6 50 64
6 52 15
6 56 2
6 60 82
6 61 33
6 63 68
6 65 15
6 67 6
6 68 60
6 70 70
6 71 79
6 75 44
6 76 2
6 77 87
6 78 85
6 79 77
6 81 31
6 82 41
6 83 52
6 86 15
6 87 80
6 89 82
6 91 47
6 92 19
6 97 43
6 98 89
7 1 88
7 2 51
7 5 13
7 6 34
7 8 70
7 9 22
7 12 100
7 13 12
7 14 94
7 15 25
7 16 44
7 19 7
7 24 50
7 26 71
7 32 78
7 33 71
7 34 67
7 35 90
7 40 10
7 41 52
7 44 54
7 45 80
7 46 31
7 47 11
7 48 72
7 50 29
7 51 15
7 52 70
7 53 65
7 54 73
7 57 5
7 58 19
7 59 8
7 60 17
7 61 33
7 63 21
7 65 23
7 66 37
7 67 45
7 69 72
7 72 10
7 73 15
7 75 4
7 77 32
7 79 8
7 80 41
7 81 10
7 83 90
7 84 63
7 85 67
7 86 7
7 89 51
7 91 35
7 93 48
7 95 77
7 96 4
7 97 85
7 98 55
7 99 77
8 1 95
8 3 19
8 4 8
8 5 27
8 7 53
8 9 16
8 11 9
8 12 12
8 14 47
8 15 5
8 17 14
8 20 74
8 21 47
8 23 5
8 27 29
