180 11985
1 2 38
1 5 52
1 7 12
1 12 83
1 17 9
1 18 18
1 20 37
1 34 6
1 35 50
1 38 38
1 39 93
1 41 8
1 42 40
1 52 58
1 57 43
1 59 90
1 60 43
1 61 77
1 64 50
1 67 37
1 71 24
1 73 56
1 75 74
1 79 26
1 87 86
1 88 42
1 90 51
1 91 87
1 94 41
1 96 61
1 99 9
1 109 69
1 110 17
1 118 56
1 122 35
1 125 87
1 128 58
1 132 77
1 134 10
1 136 22
1 137 50
1 138 4
1 140 99
1 141 43
1 142 82
1 144 26
1 147 23
1 149 38
1 150 6
1 156 94
1 157 51
1 159 46
1 160 14
1 163 43
1 164 58
1 165 59
1 166 27
1 167 51
1 168 22
1 169 91
1 170 18
1 172 53
1 178 31
1 179 7
2 1 98
2 6 8
2 7 19
2 8 79
2 9 82
2 11 85
2 12 18
2 13 46
2 16 43
2 19 65
2 20 99
2 21 42
2 26 57
2 30 1
2 31 7
2 34 83
2 36 29
2 37 37
2 38 46
2 44 34
2 47 9
2 49 41
2 53 18
2 56 63
2 57 8
2 62 76
2 63 75
2 65 7
2 66 96
2 69 38
2 72 93
2 75 75
2 77 85
2 79 100
2 80 41
2 82 87
2 84 66
2 86 54
2 92 76
2 94 10
2 98 26
2 105 31
2 107 56
2 108 71
2 113 23
2 114 1
2 118 35
2 119 87
2 121 71
2 123 24
2 130 8
2 131 7
2 133 3
2 134 50
2 136 6
2 142 60
2 146 49
2 147 53
2 148 13
2 149 69
2 151 49
2 152 94
2 156 56
2 157 71
2 160 58
2 161 14
2 165 76
2 168 94
2 176 89
2 177 37
2 178 27
2 179 84
3 2 56
3 4 18
3 8 36
3 9 15
3 11 20
3 12 74
3 13 39
3 15 72
3 17 12
3 24 22
3 26 42
3 28 25
3 31 64
3 32 81
3 33 70
3 34 21
3 37 65
3 39 54
3 42 86
3 48 94
3 49 40
3 51 24
3 52 21
3 54 90
3 61 71
3 63 8
3 64 45
3 69 19
3 72 91
3 73 50
3 78 92
3 82 98
3 85 29
3 86 51
3 94 47
3 95 95
3 99 65
3 102 14
3 104 71
3 106 41
3 108 90
3 111 52
3 112 9
3 117 65
3 118 46
3 120 42
3 133 42
3 134 70
3 135 74
3 137 54
3 138 64
3 140 20
3 143 56
3 147 11
3 149 48
3 151 96
3 152 25
3 156 57
3 159 63
3 160 47
3 162 66
3 167 44
3 169 22
3 174 1
3 179 40
4 1 57
4 2 87
4 7 32
4 13 40
4 15 1
4 16 1
4 18 45
4 21 36
4 25 67
4 26 32
4 27 93
4 29 56
4 30 70
4 31 28
4 32 45
4 43 30
4 44 57
4 45 86
4 46 53
4 47 67
4 50 66
4 52 22
4 54 80
4 57 46
4 61 16
4 62 40
4 67 11
4 69 13
4 78 24
4 81 56
4 87 77
4 89 32
4 92 16
4 100 62
4 102 33
4 107 97
4 108 48
4 111 8
4 122 96
4 125 76
4 128 80
4 130 18
4 131 60
4 136 63
4 139 83
4 145 85
4 147 27
4 152 80
4 153 36
4 157 16
4 159 81
4 162 39
4 163 38
4 172 31
4 175 37
4 176 67
4 177 15
4 179 2
4 180 8
5 1 12
5 3 29
5 4 19
5 7 55
5 8 41
5 10 96
5 12 94
5 13 45
5 17 70
5 18 100
5 19 7
5 22 10
5 25 23
5 29 37
5 32 29
5 36 25
5 38 2
5 41 23
5 42 24
5 43 81
5 45 79
5 47 46
5 48 13
5 52 17
5 55 81
5 56 91
5 60 95
5 61 10
5 65 8
5 71 73
5 72 50
5 73 14
5 75 7
5 76 97
5 81 86
5 86 15
5 87 9
5 93 100
5 94 47
5 99 5
5 101 24
5 102 2
5 103 53
5 106 5
5 107 53
5 109 71
5 112 87
5 115 70
5 118 12
5 119 47
5 123 53
5 125 88
5 127 65
5 128 2
5 133 37
5 135 15
5 140 99
5 144 13
5 146 79
5 147 96
5 149 58
5 150 85
5 153 79
5 161 90
5 164 22
5 169 76
5 172 100
6 7 31
6 15 19
6 16 17
6 17 34
6 18 33
6 19 80
6 25 81
6 26 18
6 27 12
6 28 72
6 32 15
6 37 42
