54 2172
1 2 13
1 4 99
1 5 42
1 6 30
1 7 1
1 10 22
1 11 5
1 12 4
1 13 46
1 14 29
1 15 7
1 16 46
1 17 20
1 21 57
1 22 31
1 23 56
1 24 75
1 25 79
1 27 5
1 28 74
1 29 83
1 32 8
1 33 40
1 34 60
1 35 42
1 39 20
1 40 49
1 43 47
1 44 7
1 45 1
1 46 24
1 47 45
1 48 75
1 49 19
1 50 60
1 51 43
1 52 19
1 53 47
1 54 76
2 1 25
2 3 32
2 4 48
2 5 45
2 6 12
2 7 6
2 8 51
2 9 80
2 10 5
2 11 87
2 13 9
2 14 63
2 16 15
2 19 22
2 20 25
2 21 35
2 22 7
2 23 79
2 25 27
2 27 20
2 28 84
2 29 84
2 30 41
2 31 93
2 32 17
2 33 16
2 34 54
2 35 13
2 36 61
2 37 32
2 39 53
2 40 89
2 41 70
2 42 67
2 44 10
2 45 88
2 48 78
2 49 42
2 52 90
3 1 1
3 2 20
3 4 64
3 5 36
3 6 39
3 7 14
3 9 30
3 12 63
3 13 92
3 14 22
3 15 15
3 16 59
3 17 42
3 19 48
3 20 12
3 21 93
3 22 10
3 24 7
3 25 10
3 26 33
3 28 72
3 29 66
3 30 97
3 31 36
3 33 18
3 34 2
3 38 47
3 40 2
3 41 48
3 42 44
3 43 26
3 44 82
3 45 16
3 46 77
3 48 98
3 49 22
3 50 56
3 51 76
3 52 29
3 54 94
4 1 11
4 2 32
4 5 3
4 6 5
4 7 76
4 9 32
4 10 4
4 11 50
4 14 11
4 15 15
4 16 6
4 17 45
4 18 57
4 21 56
4 23 4
4 24 53
4 25 79
4 26 61
4 27 45
4 28 62
4 31 6
4 32 2
4 34 15
4 36 57
4 38 98
4 41 39
4 42 77
4 43 63
4 44 64
4 45 60
4 46 3
4 48 5
4 49 6
4 50 17
4 52 9
4 53 47
4 54 68
5 2 93
5 4 88
5 6 87
5 8 36
5 9 18
5 10 2
5 11 27
5 13 46
5 14 94
5 15 3
5 16 51
5 17 52
5 19 77
5 20 49
5 22 26
5 24 49
5 25 25
5 26 16
5 27 50
5 28 6
5 29 65
5 31 51
5 32 20
5 34 22
5 35 62
5 37 23
5 39 3
5 40 9
5 41 13
5 43 75
5 46 5
5 47 12
5 48 85
5 51 4
5 52 11
5 54 11
6 2 27
6 3 81
6 4 22
6 5 52
6 7 74
6 9 41
6 10 96
6 11 6
6 12 52
6 13 89
6 14 11
6 15 29
6 16 90
6 17 21
6 19 93
6 20 95
6 21 30
6 22 44
6 23 98
6 24 80
6 25 36
6 26 78
6 27 35
6 28 77
6 29 23
6 30 35
6 31 98
6 32 35
6 33 19
6 35 12
6 36 92
6 37 12
6 38 15
6 39 75
6 40 56
6 41 21
6 42 2
6 44 35
6 45 46
6 46 50
6 50 39
6 51 37
7 3 36
7 5 87
7 6 65
7 8 89
7 9 19
7 10 93
7 12 39
7 13 97
7 14 87
7 15 9
7 16 37
7 17 4
7 18 69
7 19 72
7 20 55
7 23 5
7 24 11
7 25 27
7 27 24
7 28 51
7 29 87
7 30 25
7 31 6
7 32 2
7 34 22
7 35 25
7 36 44
7 37 29
7 42 11
7 43 94
7 45 52
7 46 80
7 47 86
7 48 37
7 50 39
7 52 63
7 53 23
8 1 98
8 2 3
8 4 5
8 9 17
8 12 50
8 14 89
8 15 14
8 17 6
8 18 2
8 19 23
8 20 22
8 21 44
8 23 58
8 25 90
8 26 57
8 27 47
8 28 2
8 29 79
8 30 73
8 31 73
8 33 55
