153 9827
1 2 86
1 3 43
1 4 57
1 9 33
1 11 25
1 12 25
1 18 4
1 19 77
1 20 39
1 22 40
1 24 92
1 27 13
1 28 15
1 29 78
1 30 31
1 31 13
1 32 63
1 34 98
1 38 33
1 40 39
1 41 99
1 43 40
1 44 86
1 45 72
1 47 70
1 48 99
1 54 35
1 55 58
1 57 28
1 58 100
1 59 43
1 60 46
1 61 18
1 63 25
1 66 92
1 69 70
1 70 59
1 71 79
1 72 51
1 73 84
1 74 53
1 76 28
1 77 86
1 82 25
1 85 46
1 86 31
1 87 65
1 88 79
1 89 11
1 91 36
1 92 57
1 96 12
1 97 83
1 100 100
1 101 53
1 102 48
1 104 66
1 106 57
1 107 48
1 110 20
1 111 23
1 114 76
1 115 15
1 116 93
1 118 19
1 120 11
1 123 98
1 124 11
1 125 47
1 127 87
1 128 78
1 131 61
1 133 47
1 134 41
1 140 87
1 141 2
1 142 48
1 143 32
1 148 66
1 150 11
1 152 97
1 153 90
2 4 10
2 5 49
2 6 10
2 10 48
2 20 62
2 21 22
2 26 36
2 27 14
2 28 68
2 31 59
2 32 89
2 36 38
2 37 9
2 38 15
2 40 81
2 41 53
2 45 1
2 46 49
2 48 34
2 52 70
2 53 30
2 55 25
2 56 66
2 62 9
2 63 74
2 64 29
2 66 11
2 67 18
2 72 38
2 84 7
2 85 5
2 86 3
2 89 21
2 91 23
2 93 51
2 96 24
2 104 5
2 108 37
2 112 53
2 115 41
2 116 53
2 118 90
2 119 47
2 120 7
2 121 31
2 122 28
2 123 60
2 124 66
2 125 59
2 126 86
2 130 47
2 132 22
2 133 16
2 135 1
2 136 10
2 137 16
2 138 56
2 140 69
2 142 21
2 143 14
2 147 78
2 149 66
2 152 31
2 153 62
3 6 93
3 7 73
3 12 99
3 13 36
3 14 2
3 18 27
3 20 38
3 21 24
3 22 78
3 24 25
3 25 3
3 29 38
3 30 34
3 31 64
3 37 22
3 39 20
3 47 55
3 48 53
3 49 46
3 51 11
3 52 17
3 60 2
