18 284
1 2 20
1 3 9
1 4 17
1 5 56
1 6 28
1 7 12
1 8 49
1 9 30
1 10 6
1 11 41
1 12 30
1 13 56
1 14 8
1 15 26
1 16 11
1 17 59
1 18 36
2 1 42
2 3 30
2 4 41
2 5 5
2 6 27
2 7 35
2 8 12
2 9 19
2 10 13
2 11 51
2 12 63
2 13 3
2 14 30
2 15 25
2 16 1
2 17 51
2 18 27
3 1 7
3 2 8
3 4 9
3 5 53
3 6 3
3 7 68
3 8 45
3 9 61
3 11 14
3 12 10
3 13 32
3 15 26
3 16 10
3 17 6
4 1 5
4 2 41
4 3 35
4 5 9
4 6 50
4 7 51
4 8 45
4 10 7
4 11 4
4 12 18
4 13 52
4 14 1
4 15 23
4 16 55
4 17 33
4 18 38
5 1 19
5 2 65
5 3 3
5 6 97
5 7 43
5 8 19
5 9 56
5 10 23
5 11 2
5 12 39
5 13 91
5 14 16
5 15 28
5 16 30
5 18 12
6 1 21
6 2 65
6 3 61
6 4 19
6 5 62
6 7 17
6 8 94
6 9 9
6 10 8
6 11 42
6 12 83
6 14 10
6 15 37
6 16 16
6 18 43
7 1 67
7 2 25
7 3 57
7 4 1
7 5 4
7 6 6
7 8 10
7 9 47
7 10 52
7 11 37
7 12 18
7 13 35
7 14 72
7 15 8
7 16 78
7 17 96
7 18 23
8 2 2
8 3 16
8 4 52
8 6 44
8 7 28
8 9 56
8 10 14
8 11 50
8 12 78
8 13 32
8 14 23
8 15 15
8 17 10
8 18 73
9 1 45
9 2 10
9 3 31
9 4 75
9 5 82
9 6 18
9 7 29
9 8 14
9 10 23
9 11 26
9 12 17
9 13 22
9 14 7
9 15 23
9 16 81
9 17 33
9 18 9
10 1 21
10 3 7
10 4 7
10 6 17
10 7 51
10 8 28
10 9 53
10 11 7
10 12 26
10 13 54
10 14 85
10 15 5
10 16 1
10 17 13
10 18 31
11 1 6
11 2 1
11 3 20
11 4 35
11 5 17
11 6 42
11 7 24
11 8 8
11 9 15
11 10 33
11 12 8
11 13 16
11 14 76
11 15 20
11 16 19
11 17 6
11 18 22
12 1 23
12 2 10
12 3 13
12 4 21
12 5 6
12 6 16
12 7 20
12 8 27
12 9 9
12 10 52
12 11 4
12 13 1
12 14 26
12 16 55
12 17 58
12 18 6
13 1 14
13 2 8
13 3 2
13 4 13
13 5 2
13 6 4
13 7 8
13 8 69
13 9 14
13 10 77
13 11 5
13 12 10
13 14 70
13 15 23
13 16 90
13 17 74
13 18 60
14 1 10
14 2 9
14 3 19
14 4 40
14 5 1
14 6 5
14 7 40
14 8 44
14 9 9
14 10 14
14 11 36
14 12 65
14 13 15
14 15 22
14 16 3
14 17 14
14 18 8
15 1 25
15 3 9
15 4 11
15 6 44
15 7 13
15 8 7
15 9 12
15 10 14
15 13 24
15 14 17
15 17 74
15 18 36
16 1 61
16 2 17
16 3 11
16 4 73
16 5 8
16 6 22
16 7 92
16 8 23
16 9 16
16 10 65
16 11 77
16 13 5
16 14 11
16 17 2
16 18 14
17 1 24
17 2 17
17 3 30
17 4 29
17 5 28
17 6 76
17 7 58
17 8 9
17 9 62
17 10 26
17 11 65
17 12 12
17 13 78
17 14 7
17 15 17
17 16 1
17 18 40
18 1 17
18 2 23
18 3 18
18 4 37
18 5 34
18 6 47
18 7 5
18 8 100
18 9 19
18 10 25
18 11 87
18 12 28
18 13 16
18 14 19
18 15 9
18 17 28
